Year,SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV
2010,10,0,0,0,United States,1,66,1239805,,,,
2010,10,0,0,0,United States,1,67,1270148,,,,
2010,10,0,0,0,United States,1,68,1105702,,,,
2010,10,0,0,0,United States,1,69,1006786,,,,
2010,10,0,0,0,United States,1,70,954076,,,,
2010,10,0,0,0,United States,1,71,903263,,,,
2010,10,0,0,0,United States,1,72,862528,,,,
2010,10,0,0,0,United States,1,73,794646,,,,
2010,10,0,0,0,United States,1,74,758831,,,,
2010,10,0,0,0,United States,1,75,725664,,,,
2010,10,0,0,0,United States,1,76,653551,,,,
2010,10,0,0,0,United States,1,77,630867,,,,
2010,10,0,0,0,United States,1,78,602774,,,,
2010,10,0,0,0,United States,1,79,573884,,,,
2010,10,0,0,0,United States,1,80,549215,,,,
2010,10,0,0,0,United States,1,81,496069,,,,
2010,10,0,0,0,United States,1,82,462807,,,,
2010,10,0,0,0,United States,1,83,423000,,,,
2010,10,0,0,0,United States,1,84,375687,,,,
2010,10,0,0,0,United States,1,85,1810011,,,,
2010,10,0,0,0,United States,1,999,151042631,,,,
2010,10,0,0,0,United States,2,0,1932910,,,,
2010,10,0,0,0,United States,2,1,1937556,,,,
2010,10,0,0,0,United States,2,2,2002177,,,,
2010,10,0,0,0,United States,2,3,2010648,,,,
2010,10,0,0,0,United States,2,4,1993240,,,,
2010,10,0,0,0,United States,2,5,1988080,,,,
2010,10,0,0,0,United States,2,6,1993603,,,,
2010,10,0,0,0,United States,2,7,1979908,,,,
2010,10,0,0,0,United States,2,8,1971142,,,,
2010,10,0,0,0,United States,2,9,2018378,,,,
2010,10,0,0,0,United States,2,10,2044895,,,,
2010,10,0,0,0,United States,2,11,2010714,,,,
2010,10,0,0,0,United States,2,12,2009630,,,,
2010,10,0,0,0,United States,2,13,2014717,,,,
2010,10,0,0,0,United States,2,14,2022701,,,,
2010,10,0,0,0,United States,2,15,2060561,,,,
2010,10,0,0,0,United States,2,16,2098220,,,,
2010,10,0,0,0,United States,2,17,2123294,,,,
2010,10,0,0,0,United States,2,18,2182319,,,,
2010,10,0,0,0,United States,2,19,2228186,,,,
2010,10,0,0,0,United States,2,20,2225933,,,,
