STATE,Year,Population ,NAME,AGE,,,set_id,year,pieces,t1,descr
1,2010,29710,Alabama,7,,,,,,,
1,2010,29965,Alabama,8,,,,,,,
1,2010,31419,Alabama,9,,,,,,,
1,2010,32000,Alabama,10,,,,,,,
1,2010,31344,Alabama,11,,,,,,,
1,2010,31330,Alabama,12,,,,,,,
1,2010,30898,Alabama,13,,,,,,,
1,2010,30938,Alabama,14,,,,,,,
1,2010,31504,Alabama,15,,,,,,,
1,2010,32267,Alabama,16,,,,,,,
1,2010,32726,Alabama,17,,,,,,,
1,2010,34003,Alabama,18,,,,,,,
1,2010,36192,Alabama,19,,,,,,,
1,2010,36695,Alabama,20,,,,,,,
1,2010,34693,Alabama,21,,,,,,,
1,2010,33271,Alabama,22,,,,,,,
1,2010,32281,Alabama,23,,,,,,,
1,2010,31847,Alabama,24,,,,,,,
1,2010,31874,Alabama,25,,,,,,,
1,2010,31087,Alabama,26,,,,,,,
1,2010,31242,Alabama,27,,,,,,,
1,2010,31336,Alabama,28,,,,,,,
1,2010,31498,Alabama,29,,,,,,,
1,2010,32200,Alabama,30,,,,,,,
1,2010,30502,Alabama,31,,,,,,,
1,2010,30150,Alabama,32,,,,,,,
1,2010,30046,Alabama,33,,,,,,,
1,2010,28968,Alabama,34,,,,,,,
1,2010,30070,Alabama,35,,,,,,,
1,2010,29646,Alabama,36,,,,,,,
1,2010,30670,Alabama,37,,,,,,,
1,2010,32056,Alabama,38,,,,,,,
1,2010,33654,Alabama,39,,,,,,,
1,2010,33168,Alabama,40,,,,,,,
1,2010,31414,Alabama,41,,,,,,,
1,2010,30759,Alabama,42,,,,,,,
1,2010,30966,Alabama,43,,,,,,,
1,2010,32084,Alabama,44,,,,,,,
1,2010,34386,Alabama,45,,,,,,,
1,2010,35095,Alabama,46,,,,,,,
1,2010,35355,Alabama,47,,,,,,,
1,2010,35658,Alabama,48,,,,,,,
1,2010,36236,Alabama,49,,,,,,,
1,2010,36387,Alabama,50,,,,,,,
1,2010,35762,Alabama,51,,,,,,,
1,2010,35970,Alabama,52,,,,,,,
1,2010,36108,Alabama,53,,,,,,,
1,2010,34902,Alabama,54,,,,,,,
1,2010,34774,Alabama,55,,,,,,,
1,2010,33942,Alabama,56,,,,,,,
1,2010,32446,Alabama,57,,,,,,,
1,2010,31591,Alabama,58,,,,,,,
1,2010,30725,Alabama,59,,,,,,,
1,2010,30427,Alabama,60,,,,,,,
1,2010,30263,Alabama,61,,,,,,,
1,2010,30141,Alabama,62,,,,,,,
1,2010,31379,Alabama,63,,,,,,,
1,2010,23539,Alabama,64,,,,,,,
1,2010,23638,Alabama,65,,,,,,,
1,2010,23369,Alabama,66,,,,,,,
1,2010,24326,Alabama,67,,,,,,,
1,2010,21199,Alabama,68,,,,,,,
1,2010,19734,Alabama,69,,,,,,,
1,2010,19387,Alabama,70,,,,,,,
1,2010,18488,Alabama,71,,,,,,,
1,2010,18099,Alabama,72,,,,,,,
1,2010,16719,Alabama,73,,,,,,,
1,2010,16256,Alabama,74,,,,,,,
1,2010,15919,Alabama,75,,,,,,,
1,2010,14422,Alabama,76,,,,,,,
1,2010,13903,Alabama,77,,,,,,,
1,2010,13594,Alabama,78,,,,,,,
1,2010,13076,Alabama,79,,,,,,,
1,2010,12645,Alabama,80,,,,,,,
1,2010,11584,Alabama,81,,,,,,,
1,2010,11192,Alabama,82,,,,,,,
1,2010,10429,Alabama,83,,,,,,,
1,2010,9378,Alabama,84,,,,,,,
1,2010,53070,Alabama,85,,,,,,,
1,2010,2460987,Alabama,999,,,,,,,
2,2010,10910,Alaska,0,,,,,,,
2,2010,10966,Alaska,1,,,,,,,
2,2010,11016,Alaska,2,,,,,,,
2,2010,10815,Alaska,3,,,,,,,
2,2010,10585,Alaska,4,,,,,,,
2,2010,10291,Alaska,5,,,,,,,
2,2010,10283,Alaska,6,,,,,,,
2,2010,10185,Alaska,7,,,,,,,
2,2010,10111,Alaska,8,,,,,,,
2,2010,10198,Alaska,9,,,,,,,
2,2010,10519,Alaska,10,,,,,,,
2,2010,10166,Alaska,11,,,,,,,
2,2010,10004,Alaska,12,,,,,,,
2,2010,10111,Alaska,13,,,,,,,
2,2010,10121,Alaska,14,,,,,,,
