Year,STATE,NAME,SEX,AGE,Population
2010,35,New Mexico,1,2,15207
2010,36,New York,1,2,119031
2010,37,North Carolina,1,2,65333
2010,38,North Dakota,1,2,4610
2010,39,Ohio,1,2,73673
2010,40,Oklahoma,1,2,27336
2010,41,Oregon,1,2,24695
2010,42,Pennsylvania,1,2,75371
2010,44,Rhode Island,1,2,5957
2010,45,South Carolina,1,2,31086
2010,46,South Dakota,1,2,6239
2010,47,Tennessee,1,2,42348
2010,48,Texas,1,2,199630
2010,49,Utah,1,2,27377
2010,50,Vermont,1,2,3244
2010,51,Virginia,1,2,52547
2010,53,Washington,1,2,45818
2010,54,West Virginia,1,2,10907
2010,55,Wisconsin,1,2,36975
2010,56,Wyoming,1,2,4133
2010,1,Alabama,2,2,30506
2010,2,Alaska,2,2,5297
2010,4,Arizona,2,2,45537
2010,5,Arkansas,2,2,19591
2010,6,California,2,2,251081
2010,8,Colorado,2,2,33764
2010,9,Connecticut,2,2,19776
2010,10,Delaware,2,2,5584
2010,11,District of Columbia,2,2,3300
2010,12,Florida,2,2,106500
2010,13,Georgia,2,2,67989
2010,15,Hawaii,2,2,8630
2010,16,Idaho,2,2,11988
2010,17,Illinois,2,2,82851
2010,18,Indiana,2,2,42851
2010,19,Iowa,2,2,20068
2010,20,Kansas,2,2,20385
2010,21,Kentucky,2,2,28124
2010,22,Louisiana,2,2,31597
2010,23,Maine,2,2,6744
2010,24,Maryland,2,2,36400
2010,25,Massachusetts,2,2,36085
2010,26,Michigan,2,2,58575
2010,27,Minnesota,2,2,35466
2010,28,Mississippi,2,2,21237
2010,29,Missouri,2,2,38671
2010,30,Montana,2,2,6140
2010,31,Nebraska,2,2,12999
2010,32,Nevada,2,2,18676
2010,33,New Hampshire,2,2,6772
2010,34,New Jersey,2,2,53565
2010,35,New Mexico,2,2,14411
2010,36,New York,2,2,114023
2010,37,North Carolina,2,2,62521
2010,38,North Dakota,2,2,4435
2010,39,Ohio,2,2,71134
2010,40,Oklahoma,2,2,26234
2010,41,Oregon,2,2,23548
2010,42,Pennsylvania,2,2,71943
2010,44,Rhode Island,2,2,5667
2010,45,South Carolina,2,2,30187
2010,46,South Dakota,2,2,5940
2010,47,Tennessee,2,2,40632
2010,48,Texas,2,2,191356
2010,49,Utah,2,2,26040
2010,50,Vermont,2,2,3214
2010,51,Virginia,2,2,50816
2010,53,Washington,2,2,43717
2010,54,West Virginia,2,2,10309
2010,55,Wisconsin,2,2,35230
2010,56,Wyoming,2,2,4071
2010,1,Alabama,1,3,31737
2010,2,Alaska,1,3,5531
2010,4,Arizona,1,3,47696
2010,5,Arkansas,1,3,20857
2010,6,California,1,3,263995
2010,8,Colorado,1,3,36056
2010,9,Connecticut,1,3,21189
2010,10,Delaware,1,3,5724
2010,11,District of Columbia,1,3,3229
2010,12,Florida,1,3,111857
2010,13,Georgia,1,3,71521
2010,15,Hawaii,1,3,9107
2010,16,Idaho,1,3,12755
2010,17,Illinois,1,3,86189
2010,18,Indiana,1,3,45193
2010,19,Iowa,1,3,21170
2010,20,Kansas,1,3,21210
2010,21,Kentucky,1,3,29341
2010,22,Louisiana,1,3,32731
2010,23,Maine,1,3,7298
2010,24,Maryland,1,3,38006
2010,25,Massachusetts,1,3,38055
2010,26,Michigan,1,3,62264
2010,27,Minnesota,1,3,37022
2010,28,Mississippi,1,3,22569
2010,29,Missouri,1,3,40330
2010,30,Montana,1,3,6624
2010,31,Nebraska,1,3,13639
2010,32,Nevada,1,3,19471
2010,33,New Hampshire,1,3,7320
2010,34,New Jersey,1,3,56328
2010,35,New Mexico,1,3,15177
2010,36,New York,1,3,118897
2010,37,North Carolina,1,3,65681
2010,38,North Dakota,1,3,4568
2010,39,Ohio,1,3,75108
2010,40,Oklahoma,1,3,27392
2010,41,Oregon,1,3,24759
2010,42,Pennsylvania,1,3,75854
2010,44,Rhode Island,1,3,5945
2010,45,South Carolina,1,3,31564
2010,46,South Dakota,1,3,6241
2010,47,Tennessee,1,3,42375
2010,48,Texas,1,3,199615
2010,49,Utah,1,3,27452
2010,50,Vermont,1,3,3388
2010,51,Virginia,1,3,52953
2010,53,Washington,1,3,45771
2010,54,West Virginia,1,3,10839
2010,55,Wisconsin,1,3,37423
2010,56,Wyoming,1,3,4256
2010,1,Alabama,2,3,30351
2010,2,Alaska,2,3,5284
2010,4,Arizona,2,3,45875
2010,5,Arkansas,2,3,19792
2010,6,California,2,3,251918
2010,8,Colorado,2,3,34267
2010,9,Connecticut,2,3,20400
